alternative,profile,method,score,rank
PV+Battery,TOPSIS_economic,topsis,0.6767757153445083,1
PV+Battery+Diesel,TOPSIS_economic,topsis,0.4504630944125713,2
PV+Diesel,TOPSIS_economic,topsis,0.4409652625039137,3
Diesel,TOPSIS_economic,topsis,0.2048920187211278,4
