alternative,cost,co2,res_storage
Diesel,0.5256032616602231,52758.62559728925,0.0
PV+Battery,0.6350191860167956,0.0,1.0
PV+Battery+Diesel,0.47236207561350657,34308.032301080755,0.3637643506380426
PV+Diesel,0.4367243009268997,30810.927720447897,0.20314889303869627
