fuzzy_topsis_score,fuzzy_topsis_rank,vikor_score,vikor_rank,copras_score,copras_rank,moora_score,moora_rank
0.9178819909,1.0000000000,0.0000000000,1.0000000000,1.0740749085,1.0000000000,-0.0333011226,1.0000000000
0.4137647316,2.0000000000,0.2224133865,2.0000000000,0.4150435843,2.0000000000,-0.2771050634,2.0000000000
0.0638855683,3.0000000000,1.0000000000,3.0000000000,0.3104823628,3.0000000000,-0.4505834883,3.0000000000
