Region_Sheet,Region,Discount_Rate_%,Load_Profile,Cost_PVBatt,Cost_Diesel,Diesel_Price_Code,System,System_raw,Percent_Load_Target,PV_kW,Battery_kW,Battery_kWh,Generator_kW,Fuel_cost_$,REopt_LCC_$,PV_capex_$,PV_OandM_$,Battery_capex_$,Battery_OandM_$,Diesel_capex_$,Diesel_OandM_kW_$,Diesel_OandM_kWh_$,LCOE_$_per_kWh
Accra_10,Accra,10,average,med,med,32,Diesel only,Diesel only,80,0.0,0.0,0.0,8.0,54322.55116030477,63549.8,0.0,0.0,0.0,0.0,4433.76,1702.712744,3088.134843889541,0.473373729286333
Accra_10,Accra,10,average,med,med,36,Diesel only,Diesel only,80,0.0,0.0,0.0,8.0,61112.87005534287,70340.1,0.0,0.0,0.0,0.0,4433.76,1702.712744,3088.134843889541,0.523953741087676
Accra_10,Accra,10,average,med,med,44,Diesel only,Diesel only,80,0.0,0.0,0.0,8.0,74693.50784541905,83920.8,0.0,0.0,0.0,0.0,4433.76,1702.712744,3088.134843889541,0.6251145095766233
Accra_10,Accra,10,average,high,high,32,PV+battery,PV+battery,80,16.95,4.055,36.092,0.0,0.0,90251.4,37290.0,6349.415822376,37393.8084637366,9218.04409070256,0.0,0.0,0.0,0.6722702792347506
Accra_10,Accra,10,average,high,high,36,PV+battery,PV+battery,80,16.95,4.055,36.092,0.0,0.0,90251.4,37290.0,6349.415822376,37393.8084637366,9218.04409070256,0.0,0.0,0.0,0.6722702792347506
Accra_10,Accra,10,average,high,high,44,PV+battery,PV+battery,80,16.95,4.055,36.092,0.0,0.0,90251.4,37290.0,6349.415822376,37393.8084637366,9218.04409070256,0.0,0.0,0.0,0.6722702792347506
Accra_10,Accra,10,average,high,low,32,PV+battery,PV+battery,80,16.95,4.055,36.092,0.0,0.0,90251.4,37290.0,6349.415822376,37393.8084637366,9218.04409070256,0.0,0.0,0.0,0.6722702792347506
Accra_10,Accra,10,average,high,low,36,PV+battery,PV+battery,80,16.95,4.055,36.092,0.0,0.0,90251.4,37290.0,6349.415822376,37393.8084637366,9218.04409070256,0.0,0.0,0.0,0.6722702792347506
Accra_10,Accra,10,average,high,low,44,PV+battery,PV+battery,80,16.95,4.055,36.092,0.0,0.0,90251.4,37290.0,6349.415822376,37393.8084637366,9218.04409070256,0.0,0.0,0.0,0.6722702792347506
Accra_10,Accra,10,average,high,med,32,PV+battery,PV+battery,80,16.95,4.055,36.092,0.0,0.0,90251.4,37290.0,6349.415822376,37393.8084637366,9218.04409070256,0.0,0.0,0.0,0.6722702792347506
Accra_10,Accra,10,average,high,med,36,PV+battery,PV+battery,80,16.95,4.055,36.092,0.0,0.0,90251.4,37290.0,6349.415822376,37393.8084637366,9218.04409070256,0.0,0.0,0.0,0.6722702792347506
Accra_10,Accra,10,average,high,med,44,PV+battery,PV+battery,80,16.95,4.055,36.092,0.0,0.0,90251.4,37290.0,6349.415822376,37393.8084637366,9218.04409070256,0.0,0.0,0.0,0.6722702792347506
Accra_10,Accra,10,average,low,high,32,PV+battery,PV+battery,80,16.873,4.138,36.176,0.0,0.0,55771.9,23622.2,4022.182098131681,21967.42924685202,6159.75064982184,0.0,0.0,0.0,0.41543722076834916
Accra_10,Accra,10,average,low,high,36,PV+battery,PV+battery,80,16.873,4.138,36.176,0.0,0.0,55771.9,23622.2,4022.182098131681,21967.42924685202,6159.75064982184,0.0,0.0,0.0,0.41543722076834916
Accra_10,Accra,10,average,low,high,44,PV+battery,PV+battery,80,16.873,4.138,36.176,0.0,0.0,55771.9,23622.2,4022.182098131681,21967.42924685202,6159.75064982184,0.0,0.0,0.0,0.41543722076834916
Accra_10,Accra,10,average,low,low,32,PV+battery,PV+battery,80,16.873,4.138,36.176,0.0,0.0,55771.9,23622.2,4022.182098131681,21967.42924685202,6159.75064982184,0.0,0.0,0.0,0.41543722076834916
Accra_10,Accra,10,average,low,low,36,PV+battery,PV+battery,80,16.873,4.138,36.176,0.0,0.0,55771.9,23622.2,4022.182098131681,21967.42924685202,6159.75064982184,0.0,0.0,0.0,0.41543722076834916
Accra_10,Accra,10,average,low,low,44,PV+battery,PV+battery,80,16.873,4.138,36.176,0.0,0.0,55771.9,23622.2,4022.182098131681,21967.42924685202,6159.75064982184,0.0,0.0,0.0,0.41543722076834916
Accra_10,Accra,10,average,low,med,32,PV+battery,PV+battery,80,16.873,4.138,36.176,0.0,0.0,55771.9,23622.2,4022.182098131681,21967.42924685202,6159.75064982184,0.0,0.0,0.0,0.41543722076834916
Accra_10,Accra,10,average,low,med,36,PV+battery,PV+battery,80,16.873,4.138,36.176,0.0,0.0,55771.9,23622.2,4022.182098131681,21967.42924685202,6159.75064982184,0.0,0.0,0.0,0.41543722076834916
Accra_10,Accra,10,average,low,med,44,PV+battery,PV+battery,80,16.873,4.138,36.176,0.0,0.0,55771.9,23622.2,4022.182098131681,21967.42924685202,6159.75064982184,0.0,0.0,0.0,0.41543722076834916
Accra_10,Accra,10,average,med,high,32,PV+battery,PV+battery,80,16.913,4.09,36.135,0.0,0.0,73014.3,30442.68,5183.513919751393,29696.87237351375,7690.9831933736,0.0,0.0,0.0,0.5438734894874744
Accra_10,Accra,10,average,med,high,36,PV+battery,PV+battery,80,16.913,4.09,36.135,0.0,0.0,73014.3,30442.68,5183.513919751393,29696.87237351375,7690.9831933736,0.0,0.0,0.0,0.5438734894874744
Accra_10,Accra,10,average,med,high,44,PV+battery,PV+battery,80,16.913,4.09,36.135,0.0,0.0,73014.3,30442.68,5183.513919751393,29696.87237351375,7690.9831933736,0.0,0.0,0.0,0.5438734894874744
Accra_10,Accra,10,average,med,low,32,PV+battery,PV+battery,80,16.913,4.09,36.135,0.0,0.0,73014.3,30442.68,5183.513919751393,29696.87237351375,7690.9831933736,0.0,0.0,0.0,0.5438734894874744
Accra_10,Accra,10,average,med,low,36,PV+battery,PV+battery,80,16.913,4.09,36.135,0.0,0.0,73014.3,30442.68,5183.513919751393,29696.87237351375,7690.9831933736,0.0,0.0,0.0,0.5438734894874744
Accra_10,Accra,10,average,med,low,44,PV+battery,PV+battery,80,16.913,4.09,36.135,0.0,0.0,73014.3,30442.68,5183.513919751393,29696.87237351375,7690.9831933736,0.0,0.0,0.0,0.5438734894874744
Accra_10,Accra,10,average,med,med,32,PV+battery,PV+battery,80,16.913,4.09,36.135,0.0,0.0,73014.3,30442.68,5183.513919751393,29696.87237351375,7690.9831933736,0.0,0.0,0.0,0.5438734894874744
Accra_10,Accra,10,average,med,med,36,PV+battery,PV+battery,80,16.913,4.09,36.135,0.0,0.0,73014.3,30442.68,5183.513919751393,29696.87237351375,7690.9831933736,0.0,0.0,0.0,0.5438734894874744
