Alternative,fuzzy_topsis_score,fuzzy_topsis_rank,vikor_score,vikor_rank,copras_score,copras_rank,moora_score,moora_rank
C2,0.9645355040,1.0000000000,0.0000000000,1.0000000000,1.1405699553,1.0000000000,0.1737207413,1.0000000000
C3,0.3843702440,2.0000000000,0.4842996809,2.0000000000,0.3317700631,2.0000000000,-0.0619844816,2.0000000000
C1,0.0275904093,3.0000000000,1.0000000000,3.0000000000,0.2682672206,3.0000000000,-0.2109018474,3.0000000000
