Alternative,fuzzy_topsis_score,fuzzy_topsis_rank,vikor_score,vikor_rank,copras_score,copras_rank,moora_score,moora_rank
C2,0.9308261795,1.0000000000,0.0000000000,1.0000000000,1.0526433475,1.0000000000,0.0083231421,1.0000000000
C3,0.4056079678,2.0000000000,0.6376449190,2.0000000000,0.2015112868,2.0000000000,-0.3746167922,2.0000000000
C1,0.0538153431,3.0000000000,1.0000000000,3.0000000000,0.1576947508,3.0000000000,-0.5660664521,3.0000000000
