Alternative,fuzzy_topsis_score,fuzzy_topsis_rank,vikor_score,vikor_rank,copras_score,copras_rank,moora_score,moora_rank
C2,0.8697752784,1.0000000000,0.5000000000,2.0000000000,1.0484456413,1.0000000000,-0.1405294724,1.0000000000
C3,0.4440748335,2.0000000000,0.1412234822,1.0000000000,0.4894245097,2.0000000000,-0.3575504194,2.0000000000
C1,0.1013112767,3.0000000000,1.0000000000,3.0000000000,0.3618513824,3.0000000000,-0.5301100179,3.0000000000
