Alternative,fuzzy_topsis_score,fuzzy_topsis_rank,vikor_score,vikor_rank,copras_score,copras_rank,moora_score,moora_rank
C2,0.9188831400,1.0000000000,0.0000000000,1.0000000000,1.0817007583,1.0000000000,0.0529675061,1.0000000000
C3,0.4131329225,2.0000000000,0.6174537347,2.0000000000,0.2610594479,2.0000000000,-0.2732434709,2.0000000000
C1,0.0631067016,3.0000000000,1.0000000000,3.0000000000,0.2085279172,3.0000000000,-0.4420673356,3.0000000000
