Alternative,fuzzy_topsis_score,fuzzy_topsis_rank,vikor_score,vikor_rank,copras_score,copras_rank,moora_score,moora_rank
C2,0.9379832381,1.0000000000,0.0000000000,1.0000000000,1.0553561787,1.0000000000,0.0073578703,1.0000000000
C3,0.4010989494,2.0000000000,0.6247170219,2.0000000000,0.2174244022,2.0000000000,-0.3616904203,2.0000000000
C1,0.0482473470,3.0000000000,1.0000000000,3.0000000000,0.1688961748,3.0000000000,-0.5541247417,3.0000000000
