Alternative,fuzzy_topsis_score,fuzzy_topsis_rank,vikor_score,vikor_rank,copras_score,copras_rank,moora_score,moora_rank
C2,0.8515936193,1.0000000000,0.2360945630,2.0000000000,1.0529701963,1.0000000000,-0.1327188587,1.0000000000
C3,0.4555302895,2.0000000000,0.1423145097,1.0000000000,0.5004380622,2.0000000000,-0.3439637062,2.0000000000
C1,0.1154561109,3.0000000000,1.0000000000,3.0000000000,0.3734494473,3.0000000000,-0.5097622588,3.0000000000
