Alternative,fuzzy_topsis_score,fuzzy_topsis_rank,vikor_score,vikor_rank,copras_score,copras_rank,moora_score,moora_rank
C2,0.8670938158,1.0000000000,0.3650683106,2.0000000000,1.0579561512,1.0000000000,-0.1229930516,1.0000000000
C3,0.4457643497,2.0000000000,0.1373866149,1.0000000000,0.5142916679,2.0000000000,-0.3249959550,2.0000000000
C1,0.1033973814,3.0000000000,1.0000000000,3.0000000000,0.3825056895,3.0000000000,-0.4906490036,3.0000000000
