Alternative,fuzzy_topsis_score,fuzzy_topsis_rank,vikor_score,vikor_rank,copras_score,copras_rank,moora_score,moora_rank
C2,0.9140585338,1.0000000000,0.0000000000,1.0000000000,1.1164536788,1.0000000000,0.1130748502,1.0000000000
C3,0.4125376118,2.0000000000,0.4810327892,2.0000000000,0.3281778947,2.0000000000,-0.1511762784,2.0000000000
C1,0.0668601135,3.0000000000,1.0000000000,3.0000000000,0.2650896992,3.0000000000,-0.2979028294,3.0000000000
