alternative,TOPSIS_economic,TOPSIS_resilient,TOPSIS_sustainable
Diesel,0.7576139640263418,0.8991706912740103,0.5
PV+Battery,0.0,0.0,0.025290611066430355
PV+Battery+Diesel,0.6988992215706682,0.7059558021777023,0.5601701870357538
PV+Diesel,0.8984255534806519,0.8984255534806519,0.8984255534806519
