Alternative,fuzzy_topsis_score,fuzzy_topsis_rank,vikor_score,vikor_rank,copras_score,copras_rank,moora_score,moora_rank
C2,0.9049809120,1.0000000000,0.0170344497,1.0000000000,1.0405654922,1.0000000000,-0.1108299297,1.0000000000
C3,0.4183723495,2.0000000000,0.2042954661,2.0000000000,0.3779913451,2.0000000000,-0.3887266975,2.0000000000
C1,0.0739222553,3.0000000000,1.0000000000,3.0000000000,0.2751861052,3.0000000000,-0.5834202743,3.0000000000
