alternative,Q,Region,PLS,System,method,profile,rank
Lodwar_PLS85_PV+battery+diesel,0.7465105306786197,Lodwar,85,PV+battery+diesel,vikor,sustainable,10232
Lodwar_PLS85_PV+battery+diesel,0.7465826566783048,Lodwar,85,PV+battery+diesel,vikor,sustainable,10233
Accra_PLS85_PV+battery+diesel,0.7466444604714114,Accra,85,PV+battery+diesel,vikor,sustainable,10234
Lusaka_PLS85_PV+battery+diesel,0.7467356549862799,Lusaka,85,PV+battery+diesel,vikor,sustainable,10235
Lusaka_PLS85_Diesel only,0.7469738856728281,Lusaka,85,Diesel only,vikor,sustainable,10236
Accra_PLS85_Diesel only,0.7469738856728281,Accra,85,Diesel only,vikor,sustainable,10237
Accra_PLS85_Diesel only,0.7469738856728281,Accra,85,Diesel only,vikor,sustainable,10238
Accra_PLS85_Diesel only,0.7469738856728281,Accra,85,Diesel only,vikor,sustainable,10239
Lusaka_PLS85_Diesel only,0.7469738856728281,Lusaka,85,Diesel only,vikor,sustainable,10240
Lodwar_PLS85_Diesel only,0.7469738856728281,Lodwar,85,Diesel only,vikor,sustainable,10241
Lodwar_PLS85_Diesel only,0.7469738856728281,Lodwar,85,Diesel only,vikor,sustainable,10242
Lusaka_PLS85_Diesel only,0.7469738856728281,Lusaka,85,Diesel only,vikor,sustainable,10243
Lodwar_PLS85_Diesel only,0.7469738856728281,Lodwar,85,Diesel only,vikor,sustainable,10244
Lusaka_PLS85_Diesel only,0.7469738856728281,Lusaka,85,Diesel only,vikor,sustainable,10245
Lodwar_PLS85_Diesel only,0.7469738856728282,Lodwar,85,Diesel only,vikor,sustainable,10246
Accra_PLS85_Diesel only,0.7469738856728282,Accra,85,Diesel only,vikor,sustainable,10247
Accra_PLS85_PV+battery+diesel,0.7470775278835297,Accra,85,PV+battery+diesel,vikor,sustainable,10248
Lusaka_PLS85_PV+battery+diesel,0.7471243438177937,Lusaka,85,PV+battery+diesel,vikor,sustainable,10249
Accra_PLS85_PV+battery+diesel,0.7472963976204539,Accra,85,PV+battery+diesel,vikor,sustainable,10250
Lusaka_PLS85_PV+battery+diesel,0.7473368537646297,Lusaka,85,PV+battery+diesel,vikor,sustainable,10251
Lodwar_PLS85_PV+battery+diesel,0.7473539140128997,Lodwar,85,PV+battery+diesel,vikor,sustainable,10252
Lusaka_PLS85_PV+battery+diesel,0.7474361599379594,Lusaka,85,PV+battery+diesel,vikor,sustainable,10253
