alternative,score,Region,PLS,System,method,profile,rank
Accra_PLS100_PV+battery,0.8506815783160878,Accra,100,PV+battery,topsis,sustainable,3596
Accra_PLS100_PV+battery,0.8506815783160878,Accra,100,PV+battery,topsis,sustainable,3597
Lusaka_PLS80_PV+battery+diesel,0.8506155390416695,Lusaka,80,PV+battery+diesel,topsis,sustainable,3598
Lodwar_PLS90_PV+battery+diesel,0.8505745980210936,Lodwar,90,PV+battery+diesel,topsis,sustainable,3599
Lodwar_PLS85_PV+battery+diesel,0.8505075981884904,Lodwar,85,PV+battery+diesel,topsis,sustainable,3600
Lodwar_PLS90_PV+battery+diesel,0.8504852325206871,Lodwar,90,PV+battery+diesel,topsis,sustainable,3601
Lusaka_PLS80_PV+battery+diesel,0.8504735788033303,Lusaka,80,PV+battery+diesel,topsis,sustainable,3602
Lodwar_PLS90_PV+battery+diesel,0.8503992208393074,Lodwar,90,PV+battery+diesel,topsis,sustainable,3603
Accra_PLS95_PV+battery,0.8502147097784772,Accra,95,PV+battery,topsis,sustainable,3604
Accra_PLS95_PV+battery,0.8502147097784772,Accra,95,PV+battery,topsis,sustainable,3605
Accra_PLS95_PV+battery,0.8502147097784772,Accra,95,PV+battery,topsis,sustainable,3606
Accra_PLS95_PV+battery,0.8502147097784772,Accra,95,PV+battery,topsis,sustainable,3607
Accra_PLS95_PV+battery,0.8502147097784772,Accra,95,PV+battery,topsis,sustainable,3608
Accra_PLS95_PV+battery,0.8502147097784772,Accra,95,PV+battery,topsis,sustainable,3609
Accra_PLS95_PV+battery,0.8502147097784772,Accra,95,PV+battery,topsis,sustainable,3610
Accra_PLS95_PV+battery,0.8502147097784772,Accra,95,PV+battery,topsis,sustainable,3611
Accra_PLS95_PV+battery,0.8502147097784772,Accra,95,PV+battery,topsis,sustainable,3612
Accra_PLS90_PV+battery,0.8501589333379016,Accra,90,PV+battery,topsis,sustainable,3613
Accra_PLS90_PV+battery,0.8501589333379016,Accra,90,PV+battery,topsis,sustainable,3614
Accra_PLS90_PV+battery,0.8501589333379016,Accra,90,PV+battery,topsis,sustainable,3615
Accra_PLS90_PV+battery,0.8501589333379016,Accra,90,PV+battery,topsis,sustainable,3616
Accra_PLS90_PV+battery,0.8501589333379016,Accra,90,PV+battery,topsis,sustainable,3617
Accra_PLS90_PV+battery,0.8501589333379016,Accra,90,PV+battery,topsis,sustainable,3618
Accra_PLS90_PV+battery,0.8501589333379016,Accra,90,PV+battery,topsis,sustainable,3619
Accra_PLS90_PV+battery,0.8501589333379016,Accra,90,PV+battery,topsis,sustainable,3620
Accra_PLS90_PV+battery,0.8501589333379016,Accra,90,PV+battery,topsis,sustainable,3621
Lusaka_PLS95_PV+battery,0.849960708111165,Lusaka,95,PV+battery,topsis,sustainable,3622
Lusaka_PLS95_PV+battery,0.849960708111165,Lusaka,95,PV+battery,topsis,sustainable,3623
Lusaka_PLS95_PV+battery,0.849960708111165,Lusaka,95,PV+battery,topsis,sustainable,3624
Lusaka_PLS95_PV+battery,0.849960708111165,Lusaka,95,PV+battery,topsis,sustainable,3625
Lusaka_PLS95_PV+battery,0.849960708111165,Lusaka,95,PV+battery,topsis,sustainable,3626
Lusaka_PLS95_PV+battery,0.849960708111165,Lusaka,95,PV+battery,topsis,sustainable,3627
Lusaka_PLS95_PV+battery,0.849960708111165,Lusaka,95,PV+battery,topsis,sustainable,3628
Lusaka_PLS95_PV+battery,0.849960708111165,Lusaka,95,PV+battery,topsis,sustainable,3629
Lusaka_PLS95_PV+battery,0.849960708111165,Lusaka,95,PV+battery,topsis,sustainable,3630
Lodwar_PLS90_PV+battery+diesel,0.8497360073814262,Lodwar,90,PV+battery+diesel,topsis,sustainable,3631
Accra_PLS85_PV+battery+diesel,0.8497354880346123,Accra,85,PV+battery+diesel,topsis,sustainable,3632
Lusaka_PLS80_PV+battery+diesel,0.8495982636465519,Lusaka,80,PV+battery+diesel,topsis,sustainable,3633
Accra_PLS80_PV+battery+diesel,0.8495921505586252,Accra,80,PV+battery+diesel,topsis,sustainable,3634
Lusaka_PLS80_PV+battery+diesel,0.8494204678355772,Lusaka,80,PV+battery+diesel,topsis,sustainable,3635
Accra_PLS80_PV+battery,0.8491891585540989,Accra,80,PV+battery,topsis,sustainable,3636
Accra_PLS80_PV+battery,0.8491891585540989,Accra,80,PV+battery,topsis,sustainable,3637
Accra_PLS80_PV+battery,0.8491891585540989,Accra,80,PV+battery,topsis,sustainable,3638
Accra_PLS80_PV+battery,0.8491891585540989,Accra,80,PV+battery,topsis,sustainable,3639
Accra_PLS80_PV+battery,0.8491891585540989,Accra,80,PV+battery,topsis,sustainable,3640
Accra_PLS80_PV+battery,0.8491891585540989,Accra,80,PV+battery,topsis,sustainable,3641
Accra_PLS80_PV+battery,0.8491891585540989,Accra,80,PV+battery,topsis,sustainable,3642
Accra_PLS80_PV+battery,0.8491891585540989,Accra,80,PV+battery,topsis,sustainable,3643
Accra_PLS80_PV+battery,0.8491891585540989,Accra,80,PV+battery,topsis,sustainable,3644
Accra_PLS80_PV+battery+diesel,0.8490857881287869,Accra,80,PV+battery+diesel,topsis,sustainable,3645
Lodwar_PLS100_PV+battery,0.848959833907021,Lodwar,100,PV+battery,topsis,sustainable,3646
Lodwar_PLS100_PV+battery,0.848959833907021,Lodwar,100,PV+battery,topsis,sustainable,3647
Lodwar_PLS100_PV+battery,0.848959833907021,Lodwar,100,PV+battery,topsis,sustainable,3648
Lodwar_PLS100_PV+battery,0.848959833907021,Lodwar,100,PV+battery,topsis,sustainable,3649
Lodwar_PLS100_PV+battery,0.848959833907021,Lodwar,100,PV+battery,topsis,sustainable,3650
Lodwar_PLS100_PV+battery,0.848959833907021,Lodwar,100,PV+battery,topsis,sustainable,3651
Lodwar_PLS100_PV+battery,0.848959833907021,Lodwar,100,PV+battery,topsis,sustainable,3652
Lodwar_PLS100_PV+battery,0.848959833907021,Lodwar,100,PV+battery,topsis,sustainable,3653
Lodwar_PLS100_PV+battery,0.848959833907021,Lodwar,100,PV+battery,topsis,sustainable,3654
Accra_PLS80_PV+battery,0.8489197272031683,Accra,80,PV+battery,topsis,sustainable,3655
Accra_PLS80_PV+battery,0.8489197272031683,Accra,80,PV+battery,topsis,sustainable,3656
Accra_PLS80_PV+battery,0.8489197272031683,Accra,80,PV+battery,topsis,sustainable,3657
Accra_PLS80_PV+battery,0.8489197272031683,Accra,80,PV+battery,topsis,sustainable,3658
Accra_PLS80_PV+battery,0.8489197272031683,Accra,80,PV+battery,topsis,sustainable,3659
Accra_PLS80_PV+battery,0.8489197272031683,Accra,80,PV+battery,topsis,sustainable,3660
Accra_PLS80_PV+battery,0.8489197272031683,Accra,80,PV+battery,topsis,sustainable,3661
Accra_PLS80_PV+battery,0.8489197272031683,Accra,80,PV+battery,topsis,sustainable,3662
Accra_PLS80_PV+battery,0.8489197272031683,Accra,80,PV+battery,topsis,sustainable,3663
Lodwar_PLS90_PV+battery+diesel,0.8488794745176814,Lodwar,90,PV+battery+diesel,topsis,sustainable,3664
Lodwar_PLS80_PV+battery+diesel,0.8488042564947487,Lodwar,80,PV+battery+diesel,topsis,sustainable,3665
Accra_PLS80_PV+battery+diesel,0.8486960420762175,Accra,80,PV+battery+diesel,topsis,sustainable,3666
Lusaka_PLS95_PV+battery,0.848570702243971,Lusaka,95,PV+battery,topsis,sustainable,3667
Lusaka_PLS95_PV+battery,0.848570702243971,Lusaka,95,PV+battery,topsis,sustainable,3668
Lusaka_PLS95_PV+battery,0.848570702243971,Lusaka,95,PV+battery,topsis,sustainable,3669
Lusaka_PLS95_PV+battery,0.848570702243971,Lusaka,95,PV+battery,topsis,sustainable,3670
Lusaka_PLS95_PV+battery,0.848570702243971,Lusaka,95,PV+battery,topsis,sustainable,3671
Lusaka_PLS95_PV+battery,0.848570702243971,Lusaka,95,PV+battery,topsis,sustainable,3672
Lusaka_PLS95_PV+battery,0.848570702243971,Lusaka,95,PV+battery,topsis,sustainable,3673
Lusaka_PLS95_PV+battery,0.848570702243971,Lusaka,95,PV+battery,topsis,sustainable,3674
Lusaka_PLS95_PV+battery,0.848570702243971,Lusaka,95,PV+battery,topsis,sustainable,3675
Accra_PLS100_PV+battery,0.8484491503755225,Accra,100,PV+battery,topsis,sustainable,3676
Accra_PLS100_PV+battery,0.8484491503755225,Accra,100,PV+battery,topsis,sustainable,3677
Accra_PLS100_PV+battery,0.8484491503755225,Accra,100,PV+battery,topsis,sustainable,3678
Accra_PLS100_PV+battery,0.8484491503755225,Accra,100,PV+battery,topsis,sustainable,3679
Accra_PLS100_PV+battery,0.8484491503755225,Accra,100,PV+battery,topsis,sustainable,3680
Accra_PLS100_PV+battery,0.8484491503755225,Accra,100,PV+battery,topsis,sustainable,3681
Accra_PLS100_PV+battery,0.8484491503755225,Accra,100,PV+battery,topsis,sustainable,3682
Accra_PLS100_PV+battery,0.8484491503755225,Accra,100,PV+battery,topsis,sustainable,3683
Accra_PLS100_PV+battery,0.8484491503755225,Accra,100,PV+battery,topsis,sustainable,3684
Accra_PLS100_PV+battery,0.8483190240415582,Accra,100,PV+battery,topsis,sustainable,3685
Accra_PLS100_PV+battery,0.8483190240415582,Accra,100,PV+battery,topsis,sustainable,3686
Accra_PLS100_PV+battery,0.8483190240415582,Accra,100,PV+battery,topsis,sustainable,3687
Accra_PLS100_PV+battery,0.8483190240415582,Accra,100,PV+battery,topsis,sustainable,3688
Accra_PLS100_PV+battery,0.8483190240415582,Accra,100,PV+battery,topsis,sustainable,3689
Accra_PLS100_PV+battery,0.8483190240415582,Accra,100,PV+battery,topsis,sustainable,3690
Accra_PLS100_PV+battery,0.8483190240415582,Accra,100,PV+battery,topsis,sustainable,3691
Accra_PLS100_PV+battery,0.8483190240415582,Accra,100,PV+battery,topsis,sustainable,3692
Accra_PLS100_PV+battery,0.8483190240415582,Accra,100,PV+battery,topsis,sustainable,3693
Lodwar_PLS100_PV+battery+diesel,0.8482148984789043,Lodwar,100,PV+battery+diesel,topsis,sustainable,3694
Accra_PLS95_PV+battery,0.8480931336593397,Accra,95,PV+battery,topsis,sustainable,3695
Accra_PLS95_PV+battery,0.8480931336593397,Accra,95,PV+battery,topsis,sustainable,3696
Accra_PLS95_PV+battery,0.8480931336593397,Accra,95,PV+battery,topsis,sustainable,3697
Accra_PLS95_PV+battery,0.8480931336593397,Accra,95,PV+battery,topsis,sustainable,3698
Accra_PLS95_PV+battery,0.8480931336593397,Accra,95,PV+battery,topsis,sustainable,3699
Accra_PLS95_PV+battery,0.8480931336593397,Accra,95,PV+battery,topsis,sustainable,3700
Accra_PLS95_PV+battery,0.8480931336593397,Accra,95,PV+battery,topsis,sustainable,3701
Accra_PLS95_PV+battery,0.8480931336593397,Accra,95,PV+battery,topsis,sustainable,3702
Accra_PLS95_PV+battery,0.8480931336593397,Accra,95,PV+battery,topsis,sustainable,3703
Lodwar_PLS80_PV+battery+diesel,0.8478054655627654,Lodwar,80,PV+battery+diesel,topsis,sustainable,3704
Accra_PLS95_PV+battery+diesel,0.847760126691186,Accra,95,PV+battery+diesel,topsis,sustainable,3705
Lodwar_PLS80_PV+battery+diesel,0.8477371821911681,Lodwar,80,PV+battery+diesel,topsis,sustainable,3706
Lusaka_PLS90_PV+battery+diesel,0.8476990278782389,Lusaka,90,PV+battery+diesel,topsis,sustainable,3707
Lodwar_PLS85_PV+battery+diesel,0.847679527310432,Lodwar,85,PV+battery+diesel,topsis,sustainable,3708
Accra_PLS85_PV+battery,0.847531955858948,Accra,85,PV+battery,topsis,sustainable,3709
Accra_PLS85_PV+battery,0.847531955858948,Accra,85,PV+battery,topsis,sustainable,3710
Accra_PLS85_PV+battery,0.847531955858948,Accra,85,PV+battery,topsis,sustainable,3711
Accra_PLS85_PV+battery,0.847531955858948,Accra,85,PV+battery,topsis,sustainable,3712
Accra_PLS85_PV+battery,0.847531955858948,Accra,85,PV+battery,topsis,sustainable,3713
Accra_PLS85_PV+battery,0.847531955858948,Accra,85,PV+battery,topsis,sustainable,3714
Accra_PLS85_PV+battery,0.847531955858948,Accra,85,PV+battery,topsis,sustainable,3715
Accra_PLS85_PV+battery,0.847531955858948,Accra,85,PV+battery,topsis,sustainable,3716
Accra_PLS85_PV+battery,0.847531955858948,Accra,85,PV+battery,topsis,sustainable,3717
Lodwar_PLS80_PV+battery+diesel,0.8473576793587422,Lodwar,80,PV+battery+diesel,topsis,sustainable,3718
Lodwar_PLS80_PV+battery+diesel,0.8473067118230081,Lodwar,80,PV+battery+diesel,topsis,sustainable,3719
Lodwar_PLS100_PV+battery,0.8472869731841446,Lodwar,100,PV+battery,topsis,sustainable,3720
Lodwar_PLS100_PV+battery,0.8472869731841446,Lodwar,100,PV+battery,topsis,sustainable,3721
Lodwar_PLS100_PV+battery,0.8472869731841446,Lodwar,100,PV+battery,topsis,sustainable,3722
Lodwar_PLS100_PV+battery,0.8472869731841446,Lodwar,100,PV+battery,topsis,sustainable,3723
Lodwar_PLS100_PV+battery,0.8472869731841446,Lodwar,100,PV+battery,topsis,sustainable,3724
Lodwar_PLS100_PV+battery,0.8472869731841446,Lodwar,100,PV+battery,topsis,sustainable,3725
Lodwar_PLS100_PV+battery,0.8472869731841446,Lodwar,100,PV+battery,topsis,sustainable,3726
Lodwar_PLS100_PV+battery,0.8472869731841446,Lodwar,100,PV+battery,topsis,sustainable,3727
Lodwar_PLS100_PV+battery,0.8472869731841446,Lodwar,100,PV+battery,topsis,sustainable,3728
Lusaka_PLS95_PV+battery,0.84727760394341,Lusaka,95,PV+battery,topsis,sustainable,3729
Lusaka_PLS95_PV+battery,0.84727760394341,Lusaka,95,PV+battery,topsis,sustainable,3730
Lusaka_PLS95_PV+battery,0.84727760394341,Lusaka,95,PV+battery,topsis,sustainable,3731
Lusaka_PLS95_PV+battery,0.84727760394341,Lusaka,95,PV+battery,topsis,sustainable,3732
Lusaka_PLS95_PV+battery,0.84727760394341,Lusaka,95,PV+battery,topsis,sustainable,3733
Lusaka_PLS95_PV+battery,0.84727760394341,Lusaka,95,PV+battery,topsis,sustainable,3734
Lusaka_PLS95_PV+battery,0.84727760394341,Lusaka,95,PV+battery,topsis,sustainable,3735
Lusaka_PLS95_PV+battery,0.84727760394341,Lusaka,95,PV+battery,topsis,sustainable,3736
Lusaka_PLS95_PV+battery,0.84727760394341,Lusaka,95,PV+battery,topsis,sustainable,3737
Lodwar_PLS80_PV+battery+diesel,0.8471871500841367,Lodwar,80,PV+battery+diesel,topsis,sustainable,3738
Lodwar_PLS80_PV+battery+diesel,0.8470570805369022,Lodwar,80,PV+battery+diesel,topsis,sustainable,3739
Accra_PLS100_PV+battery,0.8470512232968944,Accra,100,PV+battery,topsis,sustainable,3740
Accra_PLS100_PV+battery,0.8470512232968944,Accra,100,PV+battery,topsis,sustainable,3741
Accra_PLS100_PV+battery,0.8470512232968944,Accra,100,PV+battery,topsis,sustainable,3742
Accra_PLS100_PV+battery,0.8470512232968944,Accra,100,PV+battery,topsis,sustainable,3743
Accra_PLS100_PV+battery,0.8470512232968944,Accra,100,PV+battery,topsis,sustainable,3744
Accra_PLS100_PV+battery,0.8470512232968944,Accra,100,PV+battery,topsis,sustainable,3745
Accra_PLS100_PV+battery,0.8470512232968944,Accra,100,PV+battery,topsis,sustainable,3746
Accra_PLS100_PV+battery,0.8470512232968944,Accra,100,PV+battery,topsis,sustainable,3747
Accra_PLS100_PV+battery,0.8470512232968944,Accra,100,PV+battery,topsis,sustainable,3748
Accra_PLS80_PV+battery+diesel,0.8468156391491242,Accra,80,PV+battery+diesel,topsis,sustainable,3749
Lodwar_PLS80_PV+battery+diesel,0.8467568120270413,Lodwar,80,PV+battery+diesel,topsis,sustainable,3750
Lusaka_PLS85_PV+battery+diesel,0.8467197699104759,Lusaka,85,PV+battery+diesel,topsis,sustainable,3751
Accra_PLS100_PV+battery,0.8467191870864619,Accra,100,PV+battery,topsis,sustainable,3752
Accra_PLS100_PV+battery,0.8467191870864619,Accra,100,PV+battery,topsis,sustainable,3753
Accra_PLS100_PV+battery,0.8467191870864619,Accra,100,PV+battery,topsis,sustainable,3754
Accra_PLS100_PV+battery,0.8467191870864619,Accra,100,PV+battery,topsis,sustainable,3755
Accra_PLS100_PV+battery,0.8467191870864619,Accra,100,PV+battery,topsis,sustainable,3756
Accra_PLS100_PV+battery,0.8467191870864619,Accra,100,PV+battery,topsis,sustainable,3757
Accra_PLS100_PV+battery,0.8467191870864619,Accra,100,PV+battery,topsis,sustainable,3758
Accra_PLS100_PV+battery,0.8467191870864619,Accra,100,PV+battery,topsis,sustainable,3759
Accra_PLS100_PV+battery,0.8467191870864619,Accra,100,PV+battery,topsis,sustainable,3760
Accra_PLS100_PV+battery+diesel,0.8465853609365868,Accra,100,PV+battery+diesel,topsis,sustainable,3761
Lodwar_PLS80_PV+battery+diesel,0.8464949775749594,Lodwar,80,PV+battery+diesel,topsis,sustainable,3762
Accra_PLS85_PV+battery,0.846475651784447,Accra,85,PV+battery,topsis,sustainable,3763
Accra_PLS85_PV+battery,0.846475651784447,Accra,85,PV+battery,topsis,sustainable,3764
Accra_PLS85_PV+battery,0.846475651784447,Accra,85,PV+battery,topsis,sustainable,3765
Accra_PLS85_PV+battery,0.846475651784447,Accra,85,PV+battery,topsis,sustainable,3766
Accra_PLS85_PV+battery,0.846475651784447,Accra,85,PV+battery,topsis,sustainable,3767
Accra_PLS85_PV+battery,0.846475651784447,Accra,85,PV+battery,topsis,sustainable,3768
Accra_PLS85_PV+battery,0.846475651784447,Accra,85,PV+battery,topsis,sustainable,3769
Accra_PLS85_PV+battery,0.846475651784447,Accra,85,PV+battery,topsis,sustainable,3770
Accra_PLS85_PV+battery,0.846475651784447,Accra,85,PV+battery,topsis,sustainable,3771
Lodwar_PLS80_PV+battery+diesel,0.8464612035873782,Lodwar,80,PV+battery+diesel,topsis,sustainable,3772
Lodwar_PLS100_PV+battery,0.8464294932629255,Lodwar,100,PV+battery,topsis,sustainable,3773
Lodwar_PLS100_PV+battery,0.8464294932629255,Lodwar,100,PV+battery,topsis,sustainable,3774
Lodwar_PLS100_PV+battery,0.8464294932629255,Lodwar,100,PV+battery,topsis,sustainable,3775
Lodwar_PLS100_PV+battery,0.8464294932629255,Lodwar,100,PV+battery,topsis,sustainable,3776
Lodwar_PLS100_PV+battery,0.8464294932629255,Lodwar,100,PV+battery,topsis,sustainable,3777
Lodwar_PLS100_PV+battery,0.8464294932629255,Lodwar,100,PV+battery,topsis,sustainable,3778
Lodwar_PLS100_PV+battery,0.8464294932629255,Lodwar,100,PV+battery,topsis,sustainable,3779
Lodwar_PLS100_PV+battery,0.8464294932629255,Lodwar,100,PV+battery,topsis,sustainable,3780
Lodwar_PLS100_PV+battery,0.8464294932629255,Lodwar,100,PV+battery,topsis,sustainable,3781
Lusaka_PLS85_PV+battery+diesel,0.8463465047625184,Lusaka,85,PV+battery+diesel,topsis,sustainable,3782
Accra_PLS80_PV+battery+diesel,0.8462410396467803,Accra,80,PV+battery+diesel,topsis,sustainable,3783
Lodwar_PLS80_PV+battery+diesel,0.8462294096214481,Lodwar,80,PV+battery+diesel,topsis,sustainable,3784
Lodwar_PLS80_PV+battery+diesel,0.8462062093483245,Lodwar,80,PV+battery+diesel,topsis,sustainable,3785
Lodwar_PLS95_PV+battery+diesel,0.8461635255658894,Lodwar,95,PV+battery+diesel,topsis,sustainable,3786
Accra_PLS80_PV+battery+diesel,0.846088890789465,Accra,80,PV+battery+diesel,topsis,sustainable,3787
Accra_PLS85_PV+battery+diesel,0.8460161727021644,Accra,85,PV+battery+diesel,topsis,sustainable,3788
Lodwar_PLS80_PV+battery+diesel,0.845898987477852,Lodwar,80,PV+battery+diesel,topsis,sustainable,3789
Lusaka_PLS80_PV+battery,0.8458744674382148,Lusaka,80,PV+battery,topsis,sustainable,3790
Lusaka_PLS80_PV+battery,0.8458744674382148,Lusaka,80,PV+battery,topsis,sustainable,3791
Lusaka_PLS80_PV+battery,0.8458744674382148,Lusaka,80,PV+battery,topsis,sustainable,3792
Lusaka_PLS80_PV+battery,0.8458744674382148,Lusaka,80,PV+battery,topsis,sustainable,3793
Lusaka_PLS80_PV+battery,0.8458744674382148,Lusaka,80,PV+battery,topsis,sustainable,3794
Lusaka_PLS80_PV+battery,0.8458744674382148,Lusaka,80,PV+battery,topsis,sustainable,3795
Lusaka_PLS80_PV+battery,0.8458744674382148,Lusaka,80,PV+battery,topsis,sustainable,3796
Lusaka_PLS80_PV+battery,0.8458744674382148,Lusaka,80,PV+battery,topsis,sustainable,3797
Lusaka_PLS80_PV+battery,0.8458744674382148,Lusaka,80,PV+battery,topsis,sustainable,3798
Lodwar_PLS80_PV+battery+diesel,0.845720411193861,Lodwar,80,PV+battery+diesel,topsis,sustainable,3799
Accra_PLS85_PV+battery+diesel,0.8456311836842565,Accra,85,PV+battery+diesel,topsis,sustainable,3800
Accra_PLS80_PV+battery+diesel,0.8455237456425037,Accra,80,PV+battery+diesel,topsis,sustainable,3801
Lodwar_PLS100_PV+battery,0.845489205146345,Lodwar,100,PV+battery,topsis,sustainable,3802
Lodwar_PLS100_PV+battery,0.845489205146345,Lodwar,100,PV+battery,topsis,sustainable,3803
Lodwar_PLS100_PV+battery,0.845489205146345,Lodwar,100,PV+battery,topsis,sustainable,3804
Lodwar_PLS100_PV+battery,0.845489205146345,Lodwar,100,PV+battery,topsis,sustainable,3805
