alternative,Q,Region,PLS,System,method,profile,rank
Lodwar_PLS100_PV+battery+diesel,0.1217702588070866,Lodwar,100,PV+battery+diesel,vikor,resilient,1544
Lusaka_PLS100_PV+battery+diesel,0.12177945998541356,Lusaka,100,PV+battery+diesel,vikor,resilient,1545
Lusaka_PLS100_PV+battery+diesel,0.12179050090334853,Lusaka,100,PV+battery+diesel,vikor,resilient,1546
Accra_PLS100_PV+battery+diesel,0.12183420559412277,Accra,100,PV+battery+diesel,vikor,resilient,1547
Accra_PLS100_PV+battery+diesel,0.12185866156997975,Accra,100,PV+battery+diesel,vikor,resilient,1548
Accra_PLS100_PV+battery+diesel,0.12186604604144041,Accra,100,PV+battery+diesel,vikor,resilient,1549
Accra_PLS100_PV+battery+diesel,0.12189232729868406,Accra,100,PV+battery+diesel,vikor,resilient,1550
Accra_PLS100_PV+battery+diesel,0.121894878891198,Accra,100,PV+battery+diesel,vikor,resilient,1551
Lodwar_PLS100_PV+battery+diesel,0.12193361124751005,Lodwar,100,PV+battery+diesel,vikor,resilient,1552
Accra_PLS100_PV+battery+diesel,0.12201122613232203,Accra,100,PV+battery+diesel,vikor,resilient,1553
Lusaka_PLS100_PV+battery+diesel,0.12201379592915726,Lusaka,100,PV+battery+diesel,vikor,resilient,1554
Lusaka_PLS100_PV+battery+diesel,0.12209476776969183,Lusaka,100,PV+battery+diesel,vikor,resilient,1555
Accra_PLS100_PV+battery+diesel,0.12210195767703111,Accra,100,PV+battery+diesel,vikor,resilient,1556
Lodwar_PLS100_PV+battery,0.12210922678236089,Lodwar,100,PV+battery,vikor,resilient,1557
Lodwar_PLS100_PV+battery,0.12210922678236089,Lodwar,100,PV+battery,vikor,resilient,1558
Lodwar_PLS100_PV+battery,0.12210922678236089,Lodwar,100,PV+battery,vikor,resilient,1559
Lodwar_PLS100_PV+battery,0.12210922678236089,Lodwar,100,PV+battery,vikor,resilient,1560
Lodwar_PLS100_PV+battery,0.12210922678236089,Lodwar,100,PV+battery,vikor,resilient,1561
Lodwar_PLS100_PV+battery,0.12210922678236089,Lodwar,100,PV+battery,vikor,resilient,1562
Lodwar_PLS100_PV+battery,0.12210922678236089,Lodwar,100,PV+battery,vikor,resilient,1563
Lodwar_PLS100_PV+battery,0.12210922678236089,Lodwar,100,PV+battery,vikor,resilient,1564
Lodwar_PLS100_PV+battery,0.12210922678236089,Lodwar,100,PV+battery,vikor,resilient,1565
Accra_PLS100_PV+battery+diesel,0.12211185630366686,Accra,100,PV+battery+diesel,vikor,resilient,1566
Lodwar_PLS100_PV+battery+diesel,0.12216108492972877,Lodwar,100,PV+battery+diesel,vikor,resilient,1567
