alternative,score,Region,PLS,System,method,profile,rank
Lodwar_PLS100_PV+battery,0.8042291026292565,Lodwar,100,PV+battery,topsis,resilient,9535
Lodwar_PLS100_PV+battery,0.8042291026292565,Lodwar,100,PV+battery,topsis,resilient,9536
Lodwar_PLS100_PV+battery,0.8042291026292565,Lodwar,100,PV+battery,topsis,resilient,9537
Lodwar_PLS90_Diesel only,0.8042272041379025,Lodwar,90,Diesel only,topsis,resilient,9538
Accra_PLS90_Diesel only,0.8042272041379025,Accra,90,Diesel only,topsis,resilient,9539
Lodwar_PLS90_Diesel only,0.8042272041379025,Lodwar,90,Diesel only,topsis,resilient,9540
Accra_PLS90_Diesel only,0.8042272041379025,Accra,90,Diesel only,topsis,resilient,9541
Lusaka_PLS90_Diesel only,0.8042272041379025,Lusaka,90,Diesel only,topsis,resilient,9542
Lusaka_PLS90_Diesel only,0.8042272041379025,Lusaka,90,Diesel only,topsis,resilient,9543
Lusaka_PLS90_Diesel only,0.8042272041379025,Lusaka,90,Diesel only,topsis,resilient,9544
Lodwar_PLS90_Diesel only,0.8042272041379025,Lodwar,90,Diesel only,topsis,resilient,9545
Accra_PLS90_Diesel only,0.8042272041379025,Accra,90,Diesel only,topsis,resilient,9546
Accra_PLS80_PV+battery,0.8042054976449547,Accra,80,PV+battery,topsis,resilient,9547
Accra_PLS80_PV+battery,0.8042054976449547,Accra,80,PV+battery,topsis,resilient,9548
Accra_PLS80_PV+battery,0.8042054976449547,Accra,80,PV+battery,topsis,resilient,9549
Accra_PLS80_PV+battery,0.8042054976449547,Accra,80,PV+battery,topsis,resilient,9550
Accra_PLS80_PV+battery,0.8042054976449547,Accra,80,PV+battery,topsis,resilient,9551
Accra_PLS80_PV+battery,0.8042054976449547,Accra,80,PV+battery,topsis,resilient,9552
Accra_PLS80_PV+battery,0.8042054976449547,Accra,80,PV+battery,topsis,resilient,9553
Accra_PLS80_PV+battery,0.8042054976449547,Accra,80,PV+battery,topsis,resilient,9554
Accra_PLS80_PV+battery,0.8042054976449547,Accra,80,PV+battery,topsis,resilient,9555
Accra_PLS80_PV+battery+diesel,0.8041890873030391,Accra,80,PV+battery+diesel,topsis,resilient,9556
Lusaka_PLS80_PV+battery+diesel,0.8041728522835514,Lusaka,80,PV+battery+diesel,topsis,resilient,9557
Accra_PLS90_PV+battery+diesel,0.8041468352933474,Accra,90,PV+battery+diesel,topsis,resilient,9558
Lusaka_PLS95_Diesel only,0.8041343754056908,Lusaka,95,Diesel only,topsis,resilient,9559
Lusaka_PLS95_Diesel only,0.8041343754056908,Lusaka,95,Diesel only,topsis,resilient,9560
Lodwar_PLS95_Diesel only,0.8041343754056908,Lodwar,95,Diesel only,topsis,resilient,9561
Accra_PLS95_Diesel only,0.8041343754056908,Accra,95,Diesel only,topsis,resilient,9562
Accra_PLS95_Diesel only,0.8041343754056908,Accra,95,Diesel only,topsis,resilient,9563
Lusaka_PLS95_Diesel only,0.8041343754056908,Lusaka,95,Diesel only,topsis,resilient,9564
Lodwar_PLS95_Diesel only,0.8041343754056908,Lodwar,95,Diesel only,topsis,resilient,9565
Lodwar_PLS95_Diesel only,0.8041343754056908,Lodwar,95,Diesel only,topsis,resilient,9566
Accra_PLS95_Diesel only,0.8041343754056908,Accra,95,Diesel only,topsis,resilient,9567
Lusaka_PLS90_PV+battery+diesel,0.8041230526557684,Lusaka,90,PV+battery+diesel,topsis,resilient,9568
Lusaka_PLS95_PV+battery+diesel,0.8041220529028844,Lusaka,95,PV+battery+diesel,topsis,resilient,9569
Accra_PLS90_PV+battery+diesel,0.8040899402786631,Accra,90,PV+battery+diesel,topsis,resilient,9570
Lusaka_PLS80_PV+battery+diesel,0.8040647683329495,Lusaka,80,PV+battery+diesel,topsis,resilient,9571
Lusaka_PLS85_PV+battery,0.8040539867619994,Lusaka,85,PV+battery,topsis,resilient,9572
Lusaka_PLS85_PV+battery,0.8040539867619994,Lusaka,85,PV+battery,topsis,resilient,9573
Lusaka_PLS85_PV+battery,0.8040539867619994,Lusaka,85,PV+battery,topsis,resilient,9574
Lusaka_PLS85_PV+battery,0.8040539867619994,Lusaka,85,PV+battery,topsis,resilient,9575
Lusaka_PLS85_PV+battery,0.8040539867619994,Lusaka,85,PV+battery,topsis,resilient,9576
Lusaka_PLS85_PV+battery,0.8040539867619994,Lusaka,85,PV+battery,topsis,resilient,9577
Lusaka_PLS85_PV+battery,0.8040539867619994,Lusaka,85,PV+battery,topsis,resilient,9578
Lusaka_PLS85_PV+battery,0.8040539867619994,Lusaka,85,PV+battery,topsis,resilient,9579
Lusaka_PLS85_PV+battery,0.8040539867619994,Lusaka,85,PV+battery,topsis,resilient,9580
Lusaka_PLS85_PV+battery+diesel,0.8040403260519229,Lusaka,85,PV+battery+diesel,topsis,resilient,9581
Lusaka_PLS85_PV+battery+diesel,0.8040068664887402,Lusaka,85,PV+battery+diesel,topsis,resilient,9582
Lusaka_PLS85_PV+battery+diesel,0.8038920912780166,Lusaka,85,PV+battery+diesel,topsis,resilient,9583
Lusaka_PLS90_PV+battery+diesel,0.8038868123692307,Lusaka,90,PV+battery+diesel,topsis,resilient,9584
Lodwar_PLS80_PV+battery+diesel,0.8038024740113267,Lodwar,80,PV+battery+diesel,topsis,resilient,9585
