alternative,Q,Region,PLS,System,method,profile,rank
Lusaka_PLS100_PV+battery+diesel,0.3253460863738856,Lusaka,100,PV+battery+diesel,vikor,economic,2722
Lodwar_PLS100_PV+battery+diesel,0.325511716193265,Lodwar,100,PV+battery+diesel,vikor,economic,2723
Lodwar_PLS100_Diesel only,0.3255734823251242,Lodwar,100,Diesel only,vikor,economic,2724
Lusaka_PLS100_Diesel only,0.3255734823251242,Lusaka,100,Diesel only,vikor,economic,2725
Accra_PLS100_Diesel only,0.3255734823251242,Accra,100,Diesel only,vikor,economic,2726
Accra_PLS100_Diesel only,0.3255734823251242,Accra,100,Diesel only,vikor,economic,2727
Lodwar_PLS100_Diesel only,0.3255734823251242,Lodwar,100,Diesel only,vikor,economic,2728
Lodwar_PLS100_Diesel only,0.3255734823251242,Lodwar,100,Diesel only,vikor,economic,2729
Accra_PLS100_Diesel only,0.3255734823251242,Accra,100,Diesel only,vikor,economic,2730
Accra_PLS100_Diesel only,0.3255734823251242,Accra,100,Diesel only,vikor,economic,2731
Lusaka_PLS100_Diesel only,0.3255734823251242,Lusaka,100,Diesel only,vikor,economic,2732
Lusaka_PLS100_Diesel only,0.3255734823251242,Lusaka,100,Diesel only,vikor,economic,2733
Accra_PLS100_Diesel only,0.3255734823251242,Accra,100,Diesel only,vikor,economic,2734
Lusaka_PLS100_Diesel only,0.3255734823251242,Lusaka,100,Diesel only,vikor,economic,2735
Lodwar_PLS100_Diesel only,0.3255734823251242,Lodwar,100,Diesel only,vikor,economic,2736
Lusaka_PLS100_Diesel only,0.3255734823251242,Lusaka,100,Diesel only,vikor,economic,2737
Lodwar_PLS100_PV+battery+diesel,0.32563582785402334,Lodwar,100,PV+battery+diesel,vikor,economic,2738
Lodwar_PLS100_PV+battery+diesel,0.32564691833576054,Lodwar,100,PV+battery+diesel,vikor,economic,2739
Lodwar_PLS100_PV+battery+diesel,0.32564804380843276,Lodwar,100,PV+battery+diesel,vikor,economic,2740
Lodwar_PLS100_PV+battery+diesel,0.32592063083408157,Lodwar,100,PV+battery+diesel,vikor,economic,2741
Lusaka_PLS100_PV+battery+diesel,0.3259238171049796,Lusaka,100,PV+battery+diesel,vikor,economic,2742
Lodwar_PLS100_PV+battery+diesel,0.3260580862197463,Lodwar,100,PV+battery+diesel,vikor,economic,2743
Accra_PLS100_PV+battery+diesel,0.3261642408484271,Accra,100,PV+battery+diesel,vikor,economic,2744
