alternative,cost,co2,res_storage
Diesel,0.4162801775717488,0.6677265482409758,0.0
PV+Battery,0.7146644062610296,0.0,0.9589269538412906
PV+Battery+Diesel,0.42511926552993,0.5886322179265748,0.24765876881588184
PV+Diesel,0.36774884127580376,0.4556899919825244,0.13829038804365734
