alternative,cost,co2,res_storage
Diesel,0.522892265490092,52179.499906648714,0.0
PV+Battery,0.8976946551593914,0.0,1.0
PV+Battery+Diesel,0.5339951019361607,45998.67242251025,0.25826656329119224
PV+Diesel,0.46193173517833014,35609.90042518388,0.1442136833151792
