alternative,profile,method,score,rank
PV+Battery,TOPSIS_economic,topsis,0.6517528112055009,1
PV+Battery+Diesel,TOPSIS_economic,topsis,0.45164885944607525,2
PV+Diesel,TOPSIS_economic,topsis,0.44179632560169335,3
Diesel,TOPSIS_economic,topsis,0.28062210228234286,4
