alternative,profile,method,score,rank
PV+Battery,TOPSIS_economic,vikor,0.0,1
PV+Battery+Diesel,TOPSIS_economic,vikor,0.6988992215706682,2
Diesel,TOPSIS_economic,vikor,0.7576139640263418,3
PV+Diesel,TOPSIS_economic,vikor,0.8984255534806519,4
