alternative,cost,co2,res_storage
Diesel,0.5212901947661865,52007.580783839454,0.0
PV+Battery,0.691051360054412,0.0,1.0
PV+Battery+Diesel,0.48739323180640065,37359.30640210683,0.33298357844435555
PV+Diesel,0.46078048368679964,33118.86742541472,0.18428567958018433
