alternative,LCOE_USD_per_kWh,PV_kW,Battery_kWh,Reliability_%,CO2_kg,CO2_route,alt_key,RES_Storage_Index
Diesel,0.5232357764169083,0.0,0.0,,52310.558728312695,fuel_cost_proxy,diesel,0.0
PV+Battery,0.7403474773932145,19.90023271842692,49.150361848773564,,0.0,fuel_cost_proxy,pv+battery,1.0
PV+Battery+Diesel,0.4906664853762205,7.767748544819558,6.915569266589057,,37861.354165924895,fuel_cost_proxy,pv+battery+diesel,0.3154448825744029
PV+Diesel,0.45344642092112575,4.948502022108385,0.0,,33290.06777363393,fuel_cost_proxy,pv+diesel,0.17406587473061916
