alternative,cost,co2,res_storage
Diesel,0.46461555148152656,0.7200295717385908,0.0
PV+Battery,0.6574033485487972,0.0,0.9408022959782713
PV+Battery+Diesel,0.43569513013370503,0.5211432507750877,0.2967712697805944
PV+Diesel,0.4026449803687109,0.45822170179239186,0.16376157459803264
