alternative,TOPSIS_economic,TOPSIS_resilient,TOPSIS_sustainable
Diesel,1.2450869411269072e-05,1.2450274415159615e-05,2.3057621615351705e-06
PV+Battery,0.9999835468674786,0.9999835476537329,0.9999969530633441
PV+Battery+Diesel,0.2762301802762752,0.2762320542494517,0.27622196640705704
PV+Diesel,0.3636139549736745,0.363604896941936,0.36360663106978725
