alternative,profile,method,score,rank
PV+Battery,TOPSIS_sustainable,vikor,0.0,1
PV+Battery+Diesel,TOPSIS_sustainable,vikor,0.5722467169826317,2
Diesel,TOPSIS_sustainable,vikor,0.592682772477705,3
PV+Diesel,TOPSIS_sustainable,vikor,0.9129670626346904,4
