alternative,profile,method,score,rank
PV+Battery,TOPSIS_resilient,fuzzy_topsis,0.9999835476537329,1
PV+Diesel,TOPSIS_resilient,fuzzy_topsis,0.363604896941936,2
PV+Battery+Diesel,TOPSIS_resilient,fuzzy_topsis,0.2762320542494517,3
Diesel,TOPSIS_resilient,fuzzy_topsis,1.2450274415159615e-05,4
