alternative,cost,co2,res_storage
Diesel,0.5232357764169083,52310.558728312695,0.0
PV+Battery,0.7403474773932145,0.0,1.0
PV+Battery+Diesel,0.4906664853762205,37861.354165924895,0.3154448825744029
PV+Diesel,0.45344642092112575,33290.06777363393,0.17406587473061916
