alternative,profile,method,score,rank
PV+Battery,TOPSIS_economic,fuzzy_topsis,0.9999835468674786,1
PV+Diesel,TOPSIS_economic,fuzzy_topsis,0.3636139549736745,2
PV+Battery+Diesel,TOPSIS_economic,fuzzy_topsis,0.2762301802762752,3
Diesel,TOPSIS_economic,fuzzy_topsis,1.2450869411269072e-05,4
