Alternative,fuzzy_topsis_score,fuzzy_topsis_rank,vikor_score,vikor_rank,copras_score,copras_rank,moora_score,moora_rank
C2,0.9263219793,1.0000000000,0.0000000000,1.0000000000,1.1150719245,1.0000000000,0.1172009679,1.0000000000
C3,0.4046560336,2.0000000000,0.4806268834,2.0000000000,0.3092845469,2.0000000000,-0.1561612783,2.0000000000
C1,0.0573194879,3.0000000000,1.0000000000,3.0000000000,0.2506430437,3.0000000000,-0.3070007182,3.0000000000
