alternative,TOPSIS_economic,TOPSIS_resilient,TOPSIS_sustainable
Diesel,0.9065624246552026,0.9781204449761252,0.6628649161367421
PV+Battery,0.0,0.0,0.0
PV+Battery+Diesel,0.7433560738607737,0.767870173893374,0.4572268751503321
PV+Diesel,0.9278931583424104,0.9278931583424104,0.9278931583424104
