fuzzy_topsis_score,fuzzy_topsis_rank,vikor_score,vikor_rank,copras_score,copras_rank,moora_score,moora_rank
0.9062132142,1.0000000000,0.0000000000,1.0000000000,1.1341506959,1.0000000000,0.1438285935,1.0000000000
0.4175797942,2.0000000000,0.4722628952,2.0000000000,0.3659155792,2.0000000000,-0.0904828538,2.0000000000
0.0729635579,3.0000000000,1.0000000000,3.0000000000,0.2971918147,3.0000000000,-0.2235563254,3.0000000000
