Alternative,fuzzy_topsis_score,fuzzy_topsis_rank,vikor_score,vikor_rank,copras_score,copras_rank,moora_score,moora_rank
C2,0.6972773959,1.0000000000,0.0000000000,1.0000000000,1.2067130940,1.0000000000,0.2264327377,1.0000000000
C3,0.5527587666,2.0000000000,0.4134699932,2.0000000000,0.8090412018,2.0000000000,0.1642434306,2.0000000000
C1,0.2355099181,3.0000000000,1.0000000000,3.0000000000,0.6540932725,3.0000000000,0.1003439881,3.0000000000
