Alternative,fuzzy_topsis_score,fuzzy_topsis_rank,vikor_score,vikor_rank,copras_score,copras_rank,moora_score,moora_rank
C2,0.8988680401,1.0000000000,0.2597501270,2.0000000000,1.0554700036,1.0000000000,-0.0970684914,1.0000000000
C3,0.4257446515,2.0000000000,0.1836112405,1.0000000000,0.4394219899,2.0000000000,-0.3368273969,2.0000000000
C1,0.0786779027,3.0000000000,1.0000000000,3.0000000000,0.3246247135,3.0000000000,-0.5148669407,3.0000000000
