hour,value
1,326.800000
2,326.800000
3,326.800000
4,326.800000
5,326.800000
6,326.800000
7,514.800000
8,835.600000
9,952.000000
10,1076.600000
11,1076.600000
12,1076.600000
13,1076.600000
14,1076.600000
15,1076.600000
16,1076.600000
17,1021.400000
18,692.400000
19,598.400000
20,637.200000
21,637.200000
22,637.200000
23,482.000000
24,326.800000
