algorithm,config,objective_best,objective_mean,objective_std,rho_mean,cr_mean,score_delta_mean,entropy_diff_mean,critic_diff_mean,merec_diff_mean,lopcow_diff_mean,mean_diff_mean,bayes_diff_mean,p_value_vs_baseline,significant_vs_baseline,better_than_baseline,w_w_cost,w_w_emissions,w_w_reliability,w_w_social,seed_best
WILB,wilb_3,0.0959767869,0.1267099321,0.0265588433,0.9958333333,0.0000000000,935352.5583711654,0.1267099321,0.1318291283,0.1324183388,0.1487704818,0.1341248527,0.1895489714,0.0000000000,True,True,0.1839252030,0.2618542902,0.2607813551,0.2934391517,596941015
WILB,wilb_4,0.0959767869,0.1161921932,0.0270640503,1.0000000000,0.0000000000,0.7408136175,0.1161921932,0.1228544745,0.1207403444,0.1385340419,0.1264834470,0.1729612771,0.0000000000,True,True,0.1831818505,0.2943842894,0.3504269473,0.1720069129,426972724
WILB,wilb_5,0.0959767869,0.1398243845,0.0504037162,0.9875000000,0.0000000000,5799800.5418251920,0.1398243845,0.1453707957,0.1441718512,0.1694354800,0.1487304846,0.2007006442,0.0000000000,True,True,0.1832027501,0.2733673707,0.2570305677,0.2863993115,332615124
WILB,wilb_6,0.0959767869,0.1190390446,0.0338365779,1.0000000000,0.0000000000,0.7249327286,0.1190390446,0.1256100222,0.1239514004,0.1313016487,0.1269282600,0.1758005940,0.0000000000,True,True,0.1825698546,0.3598104617,0.1393784170,0.3182412667,364510454
WILB,wilb_7,0.0959767869,0.1227148743,0.0406883598,0.9958333333,0.0000000000,2205456.2349385885,0.1227148743,0.1290336011,0.1269943704,0.1505146501,0.1332272021,0.1815710374,0.0000000000,True,True,0.1831380653,0.2433076417,0.2194761361,0.3540781569,34486423
WILB,wilb_8,0.0959767869,0.1393754113,0.0427261468,1.0000000000,0.0000000000,0.9088253056,0.1393754113,0.1440879440,0.1462357227,0.1666867218,0.1446326054,0.2039969953,0.0000000000,True,True,0.1842199185,0.2694836533,0.1954752057,0.3508212225,557716440
ILS,ils_1,0.0959767869,0.1301740973,0.0316613826,1.0000000000,0.0000000000,0.7110552203,0.1301740973,0.1361187572,0.1340475907,0.1557213093,0.1415047905,0.1908553332,0.0000000000,True,True,0.1825539555,0.3018225365,0.3700857168,0.1455377912,656803934
ILS,ils_2,0.0959767869,0.1130969117,0.0282474748,1.0000000000,0.0000000000,0.7210017714,0.1130969117,0.1201485666,0.1182980488,0.1252337418,0.1219224495,0.1696501607,0.0000000000,True,True,0.1825132503,0.1860777161,0.4473309965,0.1840780371,273088369
ILS,ils_3,0.0959767869,0.1283679338,0.0340991900,1.0000000000,0.0000000000,0.8421520245,0.1283679338,0.1347352681,0.1326985029,0.1524255770,0.1397704455,0.1887002200,0.0000000000,True,True,0.1825063058,0.3516982509,0.2783423331,0.1874531102,156061618
ILS,ils_4,0.0959767869,0.1133971294,0.0248201324,1.0000000000,0.0000000000,0.7421977905,0.1133971294,0.1207380761,0.1165846298,0.1332620230,0.1252002869,0.1679685411,0.0000000000,True,True,0.1825424144,0.4315466628,0.2219618556,0.1639490672,675602143
ILS,ils_5,0.0959767869,0.1251391815,0.0321459366,1.0000000000,0.0000000000,0.7330442444,0.1251391815,0.1315747969,0.1293028484,0.1518429571,0.1361961297,0.1850239386,0.0000000000,True,True,0.1826082747,0.3224571798,0.3052643097,0.1896702357,427969765
ILS,ils_6,0.0959767869,0.1204686974,0.0273829088,0.9958333333,0.0000000000,695426.5170899286,0.1204686974,0.1278626574,0.1230845001,0.1417861490,0.1340556241,0.1763929785,0.0000000000,True,True,0.1826272530,0.2125156156,0.3466974313,0.2581597001,926876284
ILS,ils_7,0.0959767869,0.1219188646,0.0278977222,1.0000000000,0.0000000000,416899.4392233564,0.1219188646,0.1277663448,0.1270123813,0.1393225850,0.1298063296,0.1815261524,0.0000000000,True,True,0.1825322764,0.1971536668,0.2648724447,0.3554416121,786836674
ILS,ils_8,0.0959767869,0.1319491950,0.0334338502,1.0000000000,0.0000000000,0.7661004519,0.1319491950,0.1381546181,0.1366250049,0.1599573780,0.1415158571,0.1923256396,0.0000000000,True,True,0.1825066065,0.2032320846,0.2558262454,0.3584350635,352743231
LBH,lbh_1,0.0959767869,0.1689930497,0.0464921691,0.9708333333,0.0000000000,11889849.6618739963,0.1689930497,0.1715501391,0.1741699785,0.2025231791,0.1740496770,0.2355536386,0.0000000000,True,True,0.1857605671,0.2784902401,0.2956284135,0.2401207794,122174307
LBH,lbh_2,0.0959767869,0.1355256651,0.0502365975,0.9958333333,0.0000000000,2205456.3850473487,0.1355256651,0.1407041010,0.1407957182,0.1559057668,0.1428000306,0.1954742723,0.0000000000,True,True,0.1868890116,0.2218973206,0.4071748987,0.1840387690,546061460
LBH,lbh_3,0.0959767869,0.1447891251,0.0431756539,1.0000000000,0.0000000000,0.7796777547,0.1447891251,0.1499213338,0.1464824123,0.1804256609,0.1576194526,0.2068057190,0.0000000000,True,True,0.1858442975,0.3165738624,0.1714553699,0.3261264701,833164281
LBH,lbh_4,0.0959767869,0.1540120074,0.0449393411,0.9916666667,0.0000000000,4410911.7758563468,0.1540120074,0.1585934689,0.1583472057,0.1801811011,0.1624117786,0.2166367017,0.0000000000,True,True,0.1832516966,0.3777525355,0.2974833772,0.1415123907,651418567
LBH,lbh_5,0.0959767869,0.1708105883,0.0520224834,0.9916666667,0.0000000000,4410911.8700819714,0.1708105883,0.1749539238,0.1735177059,0.2035092794,0.1800125491,0.2338221472,0.0000000000,True,True,0.1855722727,0.2506114327,0.2726913082,0.2911249864,153296778
LBH,lbh_6,0.0959767869,0.1645602073,0.0525046801,0.9875000000,0.0000000000,4900996.3864576621,0.1645602073,0.1686111322,0.1691223212,0.2039571687,0.1731875156,0.2305813944,0.0000000000,True,True,0.1905897163,0.2147816401,0.2046480872,0.3899805564,768753119
LBH,lbh_7,0.0959767869,0.1659062105,0.0503374872,0.9791666667,0.0000000000,8811159.8464285694,0.1659062105,0.1699988484,0.1697373358,0.2015416312,0.1745311028,0.2304945294,0.0000000000,True,True,0.1859361112,0.3190834330,0.3000527552,0.1949277006,871782213
LBH,lbh_8,0.0959767869,0.1631565921,0.0438293348,0.9916666667,0.0000000000,2796731.5001463522,0.1631565921,0.1668811387,0.1678047106,0.1958410767,0.1699864470,0.2280118864,0.0000000000,True,True,0.1893555518,0.4723096862,0.1806894041,0.1576453579,624416423
