fuzzy_topsis_score,fuzzy_topsis_rank,vikor_score,vikor_rank,copras_score,copras_rank,moora_score,moora_rank
0.9433118096,1.0000000000,0.0000000000,1.0000000000,1.0466303719,1.0000000000,-0.0010074571,1.0000000000
0.3937366357,2.0000000000,0.6297559041,2.0000000000,0.1914016726,2.0000000000,-0.3911378137,2.0000000000
0.0441018639,3.0000000000,1.0000000000,3.0000000000,0.1473179062,3.0000000000,-0.5947443844,3.0000000000
