alternative,LCOE_USD_per_kWh,PV_kW,Battery_kWh,Reliability_%,CO2_kg,CO2_route,alt_key,RES_Storage_Index
Diesel,0.5212901947661865,0.0,0.0,,52007.580783839454,fuel_cost_proxy,diesel,0.0
PV+Battery,0.691051360054412,19.79248933577087,41.648308957952466,,0.0,fuel_cost_proxy,pv+battery,1.0
PV+Battery+Diesel,0.48739323180640065,8.193045845272206,6.000206303724929,,37359.30640210683,fuel_cost_proxy,pv+battery+diesel,0.33298357844435555
PV+Diesel,0.46078048368679964,5.210674782608695,0.0,,33118.86742541472,fuel_cost_proxy,pv+diesel,0.18428567958018433
