alternative,TOPSIS_economic,TOPSIS_resilient,TOPSIS_sustainable
Diesel,9.7921674392236e-06,9.791696768491831e-06,1.8133955888180968e-06
PV+Battery,0.999986717510015,0.9999867181484516,0.9999975402372461
PV+Battery+Diesel,0.28166551635940423,0.28166798301553364,0.28165866377300647
PV+Diesel,0.3631965585539179,0.36318795901608825,0.3631908131381348
