alternative,TOPSIS_economic,TOPSIS_resilient,TOPSIS_sustainable
Diesel,0.2048920187211278,0.08621641910308349,0.05634665501011764
PV+Battery,0.6767757153445083,0.8536085714152543,0.9022483304323431
PV+Battery+Diesel,0.4504630944125713,0.379094381475282,0.3622442494007713
PV+Diesel,0.4409652625039137,0.26119265233554945,0.34914485032312076
