alternative,cost,co2,res_storage
Diesel,0.4760360629811787,0.7213981395698091,0.0
PV+Battery,0.6310599586582317,0.0,0.9346042249960907
PV+Battery+Diesel,0.44508175584783066,0.5182116477617992,0.3112078592684119
PV+Diesel,0.4207793078694127,0.45939243828040865,0.17223417474191607
